country,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling
luxembourg,2008,developed,80.0,8.0,0,11.53,94.0,0,96.0,7.34,99.0,0.1,114293.8433,48865.0,0.9,0.9,0.887,13.5
luxembourg,2011,developed,88.0,72.0,0,11.5,95.0,0,96.0,7.34,99.0,0.1,115761.577,518347.0,0.9,0.9,0.894,13.9
luxembourg,2014,developed,81.7,65.0,0,11.12,94.0,0,99.0,6.94,99.0,0.1,119172.7418,556319.0,1.0,0.9,0.892,13.9
luxembourg,2013,developed,81.4,68.0,0,11.02,94.0,0,99.0,7.1,99.0,0.1,113751.85,54336.0,0.9,0.9,0.892,13.9
luxembourg,2006,developed,79.4,85.0,0,11.98,95.0,0,99.0,7.75,99.0,0.1,89739.7117,472637.0,0.9,0.9,0.88,13.5
luxembourg,2004,developed,78.7,92.0,0,12.42,94.0,0,99.0,8.2,99.0,0.1,75716.3518,45895.0,1.0,0.9,0.867,13.5
australia,2013,developed,82.5,61.0,1,9.87,91.0,1,91.0,9.36,91.0,0.1,67792.3386,23117353.0,0.6,0.6,0.933,20.3
australia,2012,developed,82.3,61.0,1,10.03,91.0,1,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6,0.6,0.93,20.1
australia,2011,developed,82.0,63.0,1,10.3,92.0,1,92.0,9.2,92.0,0.1,62245.129,223424.0,0.6,0.6,0.927,19.8
australia,2014,developed,82.7,6.0,1,9.71,91.0,1,92.0,9.42,92.0,0.1,62214.6912,2346694.0,0.6,0.6,0.936,20.4
luxembourg,2003,developed,78.6,92.0,0,12.61,95.0,0,99.0,7.67,98.0,0.1,65445.8853,45163.0,1.0,0.9,0.865,13.6
canada,2012,developing,81.6,68.0,2,8.3,7.0,2,99.0,1.78,95.0,0.1,52496.69487,3475545.0,0.5,0.5,0.907,15.9
